Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Playoff Wins,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Golden State Warriors,6.0,3.5,13.5,4.5,12.5,5.0,6.0,4.0,15.0,15.5,4.5,6.0,14.0,2.0,4.0,3.0,1.0,11.0,13.0,15.0,6.0,1.0,3.5,Chase Center,7.0,7.0,16,1,82.0,241.8,43.1,90.2,0.479,16.6,43.2,0.385,26.5,47.0,0.564,16.0,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9
Boston Celtics,11.5,7.0,10.0,1.5,15.5,2.0,13.0,1.0,7.0,15.5,1.5,12.0,13.0,6.0,9.5,8.0,7.5,6.0,10.0,16.0,8.0,10.0,13.0,TD Garden,5.0,5.0,14,2,82.0,243.7,42.2,88.8,0.475,16.0,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9
Miami Heat,4.0,3.5,13.5,6.0,11.0,6.0,12.0,6.0,9.0,12.0,6.0,15.0,7.0,7.0,3.0,5.0,2.0,8.0,5.0,8.5,3.0,7.5,2.0,FTX Arena,4.0,4.0,11,3,82.0,241.5,39.2,85.3,0.46,12.0,34.8,0.344,27.3,50.5,0.54,19.1,23.0,0.831,9.7,30.9,40.6,23.8,8.0,3.0,13.5,18.5,109.5
Dallas Mavericks,9.0,5.0,12.0,7.0,10.0,8.0,11.0,8.0,14.0,11.0,7.0,16.0,8.0,4.0,13.0,12.0,11.0,14.0,12.0,12.0,9.0,7.5,12.0,American Airlines Center,3.0,3.0,9,4,82.0,243.0,40.0,84.3,0.475,15.2,41.0,0.371,24.8,43.3,0.574,19.0,25.1,0.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2
Phoenix Suns,7.0,1.0,16.0,1.5,15.5,1.0,16.0,2.0,4.0,14.0,1.5,4.0,16.0,14.0,5.5,4.0,12.5,12.0,16.0,14.0,6.0,11.0,8.5,Phoenix Suns Arena,12.0,12.0,7,5,82.0,241.2,42.1,90.1,0.467,12.2,32.6,0.374,29.9,57.5,0.52,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6
Milwaukee Bucks,3.0,7.0,10.0,8.0,9.0,7.0,9.0,7.0,3.0,6.0,8.0,3.0,4.0,5.0,7.0,6.0,9.0,9.5,7.0,5.0,14.0,2.0,15.0,Fiserv Forum,8.0,8.0,7,6,82.0,241.8,42.7,90.4,0.473,14.8,40.3,0.368,27.9,50.1,0.557,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9
Memphis Grizzlies,16.0,2.0,15.0,4.5,12.5,4.0,14.0,5.0,5.0,13.0,4.5,2.0,11.0,15.0,15.0,14.0,14.0,1.0,14.0,10.0,4.0,9.0,8.5,FedEx Forum,14.0,14.0,6,7,82.0,241.2,43.7,92.1,0.475,12.0,34.2,0.351,31.7,57.9,0.548,17.5,23.8,0.733,12.0,34.6,46.6,26.0,8.3,5.8,13.6,20.0,116.9
Philadelphia 76ers,8.0,7.0,10.0,9.5,7.5,10.0,7.0,9.0,11.0,8.0,9.0,13.0,1.0,10.0,9.5,13.0,12.5,16.0,1.0,8.5,10.0,13.0,10.0,Wells Fargo Center,2.0,2.0,6,8,82.0,242.4,40.8,83.8,0.487,12.6,32.6,0.387,28.2,51.2,0.551,21.0,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2
Utah Jazz,1.0,9.0,8.0,3.0,14.0,3.0,15.0,3.0,1.0,9.5,3.0,11.0,2.0,1.0,2.0,2.0,4.0,4.0,2.5,12.0,16.0,4.0,16.0,Vivint Smart Home Arena,6.0,6.0,2,9,82.0,241.5,42.5,89.8,0.473,13.3,37.8,0.353,29.2,52.0,0.56,18.7,23.8,0.786,11.8,34.1,45.9,26.0,6.1,5.2,15.4,20.5,117.1
Minnesota Timberwolves,15.0,12.5,4.5,9.5,7.5,9.0,8.0,10.0,8.0,7.0,10.0,1.0,5.0,3.0,12.0,11.0,7.5,5.0,8.5,6.5,2.0,16.0,1.0,Target Center,13.0,13.0,2,10,82.0,241.8,42.9,87.4,0.49,12.2,33.3,0.365,30.7,54.1,0.568,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8.0,5.4,15.3,21.6,115.8
