Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk
Boston Celtics,6.0,1.0,21.0,1.0,21.0,1.0,20.0,1.0,1.0,19.0,1.0,14.0,18.5,1.0,1.0,1.5,20.0,9.0,16.0,20.0,20.0,9.0,21.0,5.0,11.0,11.0,11.0,6.5,4.0,6.0,7.5,1.0,1.0,2.0,20.5,21.0,2.0,16.0,19.0,6.0,8.5,1.0,2.0,10.0,20.5,1.5,21.0,20.0,2.0,1
Oklahoma City Thunder,21.0,2.5,19.5,2.0,20.0,2.0,10.0,2.0,3.0,18.0,2.0,6.0,14.0,12.5,2.0,3.0,15.0,20.0,12.0,18.0,2.0,21.0,6.0,9.0,17.0,17.0,11.0,9.5,2.0,10.0,2.5,8.0,11.0,1.0,4.0,6.0,5.5,11.0,14.0,2.5,20.0,12.0,20.0,7.0,1.5,1.5,15.0,9.0,3.0,2
Minnesota Timberwolves,10.0,4.0,18.0,3.0,19.0,3.0,11.0,3.0,16.0,21.0,3.0,16.0,4.5,11.0,8.0,10.0,3.0,15.5,7.5,21.0,4.5,6.0,7.0,4.0,15.0,15.0,11.0,9.5,18.5,20.0,10.0,12.5,15.0,3.0,16.0,15.0,15.0,10.0,8.0,13.0,17.5,5.0,12.0,11.5,5.0,3.0,4.0,9.0,16.0,3
Denver Nuggets,11.0,2.5,19.5,4.0,18.0,4.0,9.0,4.0,5.0,14.0,4.0,18.0,18.5,21.0,11.0,7.5,13.5,4.0,21.0,19.0,19.0,14.5,9.0,20.0,6.0,6.0,11.0,19.0,3.0,11.0,4.0,19.0,21.0,9.5,2.0,1.0,7.0,21.0,21.0,18.0,8.5,8.0,6.0,2.0,17.0,7.0,17.0,15.0,13.0,4
New York Knicks,13.5,6.5,15.5,5.0,17.0,5.0,14.0,6.0,7.0,12.5,5.0,21.0,13.0,8.0,18.5,16.0,8.0,1.0,13.0,8.0,10.5,11.5,18.0,10.0,5.0,5.0,11.0,16.0,18.5,12.0,18.0,9.5,9.0,13.5,19.0,13.0,18.0,13.5,13.0,11.5,1.0,17.0,4.0,21.0,12.0,20.0,8.0,17.0,17.0,5
New Orleans Pelicans,17.0,9.0,13.0,6.0,16.0,6.0,7.0,5.0,11.0,15.0,6.0,11.0,7.0,16.5,10.0,11.0,9.0,12.5,9.0,10.5,4.5,6.0,14.0,7.0,20.0,18.0,11.0,19.0,11.5,15.0,9.0,14.5,16.5,4.0,6.5,8.0,13.5,12.0,9.0,16.0,11.0,9.0,9.5,8.5,3.0,15.5,11.0,13.0,12.0,6
Los Angeles Clippers,1.0,5.0,17.0,8.0,14.0,7.0,4.0,7.0,4.0,5.5,7.0,14.0,10.0,12.5,7.0,9.0,7.0,12.5,5.0,10.5,15.5,18.0,16.0,17.5,9.0,8.0,11.0,19.0,13.0,17.0,6.0,12.5,14.0,6.0,8.0,12.0,11.0,7.0,11.0,2.5,14.0,15.0,15.5,16.0,7.0,11.0,9.5,12.0,11.0,7
Philadelphia 76ers,4.5,13.5,8.5,8.0,14.0,9.5,18.0,11.0,13.5,11.0,8.0,12.0,6.0,16.5,18.5,20.0,21.0,10.0,2.5,14.0,3.0,19.0,3.0,1.0,3.0,3.0,11.0,13.0,17.0,9.0,20.0,17.0,13.0,18.0,10.0,5.0,21.0,1.0,4.0,1.0,6.0,19.0,15.5,18.0,1.5,4.5,20.0,3.0,14.0,8
Phoenix Suns,3.0,9.0,13.0,8.0,14.0,8.0,8.0,8.0,9.5,10.0,9.5,10.0,3.0,15.0,4.0,6.0,1.0,8.0,1.0,15.0,18.0,14.5,17.0,15.0,18.0,19.0,11.0,13.0,11.5,18.0,5.0,16.0,16.5,5.0,6.5,10.5,9.0,2.5,5.5,5.0,12.5,7.0,8.0,8.5,15.0,4.5,1.0,16.0,10.0,9
Indiana Pacers,18.0,13.5,8.5,10.0,12.0,9.5,15.0,10.0,2.0,2.0,9.5,1.0,20.0,14.0,3.0,1.5,16.0,14.0,18.0,2.5,13.5,20.0,1.0,14.0,21.0,21.0,11.0,19.0,1.0,1.0,1.0,9.5,10.0,9.5,1.0,2.5,1.0,17.0,17.0,9.5,12.5,21.0,21.0,1.0,9.0,6.0,12.5,1.0,1.0,10
Golden State Warriors,4.5,17.0,5.0,12.0,10.0,12.0,3.0,9.0,8.0,8.5,11.5,7.0,21.0,5.0,12.5,12.5,4.5,2.0,19.5,12.5,17.0,11.5,9.0,19.0,13.0,12.0,11.0,6.5,5.5,3.0,13.5,2.0,4.0,7.0,15.0,14.0,13.5,18.5,20.0,11.5,3.0,4.0,1.0,3.0,18.0,15.5,3.0,6.0,8.0,11
Milwaukee Bucks,2.0,9.0,13.0,12.0,10.0,11.0,12.0,12.0,6.0,4.0,11.5,5.0,4.5,4.0,5.5,4.0,13.5,18.5,7.5,12.5,21.0,4.0,13.0,16.0,12.0,14.0,11.0,9.5,8.5,13.0,7.5,5.0,5.0,11.0,13.0,18.5,3.0,5.0,3.0,14.0,17.5,3.0,7.0,13.0,20.5,11.0,12.5,7.0,4.0,12
Cleveland Cavaliers,15.5,11.0,11.0,12.0,10.0,13.0,17.0,15.0,17.0,16.0,13.0,14.0,16.0,6.0,12.5,12.5,6.0,15.5,17.0,16.0,10.5,6.0,12.0,8.0,8.0,7.0,11.0,9.5,15.5,16.0,12.0,7.0,7.0,15.0,18.0,18.5,9.0,18.5,18.0,17.0,15.0,10.0,13.0,6.0,15.0,15.5,6.0,18.0,18.0,13
